Number,STATUS,A,L,D,E,F,G,H,I,B,J,K,C,M,N,DATA_ID
0,"Selected, dropped out",A1,3,,0,0,,,,B1,,,,,,AAZ
1,Selected,A1,2,,0,0,,,,B1,,,,,,AAZ
2,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
3,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
4,Selected,A2,2,,1,1,,,,B1,,,,,,AAZ
5,Selected,A1,1,,1,1,,,,B1,,,,,,AAZ
6,Selected,A1,3,,1,1,,,,B1,,,,,,AAZ
7,Selected,A1,2,,1,1,,,,B1,,,,,,AAZ
8,Selected,A1,5,,1,1,,,,B1,,,,,,AAZ
9,Selected,A1,3,,1,1,,,,B1,,,,,,AAZ
10,Selected,A2,3,,1,1,,,,B1,,,,,,AAZ
11,Selected,A2,1,,1,1,,,,B1,,,,,,AAZ
12,Selected,A1,3,,0,0,,,,B1,,,,,,AAZ
13,Selected,A1,5,,0,0,,,,B2,,,,,,AAZ
14,Selected,A2,3,,0,0,,,,B2,,,,,,AAZ
15,Selected,A2,2,,0,0,,,,B2,,,,,,AAZ
16,Selected,A2,5,,0,0,,,,B2,,,,,,AAZ
17,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
18,Selected,A1,3,,0,0,,,,B1,,,,,,AAZ
19,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
20,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
21,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
22,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
23,Selected,A1,2,,0,0,,,,B1,,,,,,AAZ
24,Selected,A1,1,,0,0,,,,B2,,,,,,AAZ
25,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
26,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
27,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
28,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
29,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
30,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
31,Selected,A1,1,,0,0,,,,B1,,,,,,AAZ
32,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
33,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
34,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
35,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
36,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
37,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
38,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
39,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
40,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
41,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
42,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
43,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
44,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
45,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
46,Not selected,A1,5,,1,1,,,,B1,,,,,,AAZ
47,Not selected,A2,1,,1,1,,,,B1,,,,,,AAZ
