Code,Age Range,Party,Housing Status,Gender,Race/Ethnicity,Educational Attainment,Initially Selected,Alternate,Dropped_Inclusive,Dropped
40026,35-44,Another,Rent,Female,White,Bachelors,,,nan,nan
40028,16-24,Another,Unhoused,Female,Native_American,Some_college,YES,,YES,nan
40082,25-34,Another,Unhoused,Female,Native_American,High_school,,,nan,nan
40199,55-64,Dem,Unhoused,Female,White,Bachelors,YES,,NO,NO
40554,25-34,Dem,Own,Female,White,Bachelors,YES,,YES,nan
40556,55-64,Rep,Own,Female,White,Some_college,YES,,NO,NO
40810,16-24,Dem,Own,Male,White,Some_college,,,NO,NO
41133,75_and_up,Dem,Own,Female,White,Some_college,,,nan,nan
41178,45-54,Another,Rent,Male,Black,Some_college,,YES,nan,nan
41188,45-54,Dem,Own,Male,White,Bachelors,,,nan,nan
41232,75_and_up,Dem,Own,Female,White,Some_college,,,nan,nan
41367,45-54,Another,Own,Female,White,Some_college,,,nan,nan
41472,65-74,Dem,Rent,Male,White,Some_college,,YES,nan,nan
41511,65-74,Dem,Own,Female,White,Bachelors,,,nan,nan
41513,55-64,Rep,Own,Female,Multiracial,Some_college,,YES,nan,nan
41723,65-74,Another,Rent,Female,White,Bachelors,YES,,NO,NO
41737,55-64,Rep,Own,Female,White,High_school,,YES,nan,nan
41793,65-74,Dem,Own,Male,White,Some_college,,,nan,nan
41981,75_and_up,Dem,Own,Male,White,Bachelors,,,nan,nan
42553a,55-64,Rep,Own,Male,White,Bachelors,,,nan,nan
42553b,45-54,Rep,Own,Female,White,Some_college,,,nan,nan
43008,16-24,Another,Own,Male,Multiracial,Some_schooling,YES,,NO,NO
43093,55-64,Dem,Own,Female,White,Some_college,,,nan,nan
43233,25-34,Dem,Own,Female,White,Bachelors,,,nan,nan
43430,25-34,Dem,Own,Female,White,Bachelors,,YES,nan,nan
43480,35-44,Another,Rent,Male,White,Bachelors,,YES,nan,nan
43524,45-54,Dem,Own,Male,White,Some_college,YES,,YES,nan
43575,35-44,Another,Own,Female,White,High_school,YES,,YES,nan
43615,45-54,Dem,Own,Female,White,Bachelors,,,nan,nan
43629,16-24,Rep,Rent,Male,White,High_school,YES,,NO,NO
43750,75_and_up,Rep,Own,Female,White,Some_college,,YES,nan,nan
43922,45-54,Dem,Rent,Male,White,Bachelors,,,nan,nan
44005a,25-34,Dem,Rent,Male,White,Bachelors,,,nan,nan
44005b,16-24,Dem,Rent,Male,White,Some_college,,YES,nan,nan
44233,35-44,Dem,Own,Female,White,Bachelors,YES,,YES,nan
44324,35-44,Rep,Rent,Male,White,Some_college,YES,,NO,NO
44625,75_and_up,Dem,Own,Male,White,Bachelors,,,nan,nan
44628,75_and_up,Dem,Own,Male,White,Bachelors,,,nan,nan
44642,55-64,Dem,Own,Male,White,Bachelors,YES,,NO,NO
45207,75_and_up,Dem,Own,Female,White,Bachelors,,,nan,nan
45377,16-24,Another,Rent,Male,White,Some_schooling,YES,,YES,nan
