Code,Housing Status,Age Range,Gender,Race/Ethnicity,Disability,Educational Attainment,Initially Selected,Alternate,Dropped
101,Rent,35-44,Female,White,No,Some_college,YES,nan,NO
1732,Own,65-74,Female,Latinx,No,High_school,YES,nan,NO
2640,Own,65-74,Male,White,No,Some_college,YES,nan,NO
4752-2,Own,16-24,Another gender identity,White,No,Some_schooling,YES,nan,NO
8499-2,Rent,35-44,Male,Latinx,No,High_school,YES,nan,NO
10741,Rent,25-34,Male,Multiracial,Yes,Bachelors,YES,nan,NO
14219,Own,35-44,Male,White,No,Bachelors,YES,nan,NO
15224,Own,75_and_up,Female,White,No,Some_college,YES,nan,NO
18568,Own,25-34,Another gender identity,Latinx,Yes,Some_college,YES,nan,NO
24159,Own,55-64,Female,Native_American,Yes,Bachelors,YES,nan,NO
24861,Own,16-24,Female,White,No,Some_college,YES,nan,NO
29881,Rent,45-54,Male,White,No,Some_college,YES,nan,NO
32576,Own,45-54,Female,AAPI,No,Bachelors,YES,nan,NO
36784,Rent,55-64,Female,Black,Yes,Bachelors,YES,nan,NO
40341-2,Rent,16-24,Male,White,No,Some_schooling,YES,nan,YES
43527,Rent,35-44,Male,Latinx,No,Bachelors,YES,nan,NO
46212-1,Rent,45-54,Female,Native_American,No,Some_college,YES,nan,YES
46697,Rent,25-34,Male,Multiracial,No,Bachelors,YES,nan,NO
47693,Rent,16-24,Male,White,No,Bachelors,YES,nan,NO
48896,Rent,16-24,Male,White,Yes,Some_college,YES,nan,NO
53934,Rent,25-34,Female,White,No,Bachelors,YES,nan,NO
61601,Rent,25-34,Male,White,No,Bachelors,YES,nan,YES
64392-2,Own,16-24,Male,White,No,High_school,YES,nan,YES
65888-1,Own,16-24,Male,White,No,High_school,YES,nan,NO
70485-1,Own,16-24,Female,White,No,Some_college,YES,nan,NO
73255,Own,65-74,Female,White,No,Some_college,YES,nan,NO
73597,Own,75_and_up,Female,White,No,Some_college,YES,nan,NO
73786,Own,45-54,Female,AAPI,No,Bachelors,YES,nan,NO
79216,Rent,25-34,Male,Black,Yes,Bachelors,YES,nan,YES
80113,Rent,16-24,Female,White,No,Some_college,YES,nan,NO
66097-2,Rent,55-64,Male,AAPI,No,Bachelors,nan,YES,nan
9253-1,Own,25-34,Male,White,No,High_school,nan,YES,nan
1014,Own,45-54,Female,White,No,Bachelors,nan,YES,nan
757,Own,35-44,Male,White,No,Some_college,nan,YES,nan
43564-2,Rent,35-44,Male,Latinx,No,Bachelors,nan,YES,nan
67136,Rent,25-34,Female,White,No,Some_college,nan,YES,nan
3031,Own,45-54,Female,AAPI,No,Some_college,nan,YES,nan
44016,Rent,16-24,Another gender identity,White,No,Bachelors,nan,YES,nan
80029,Rent,16-24,Another gender identity,Multiracial,No,Some_college,nan,YES,nan
64810,Rent,75_and_up,Female,White,Yes,Bachelors,nan,YES,nan
1247,Own,55-64,Female,White,No,Bachelors,nan,nan,nan
2202,Rent,35-44,Male,White,No,Bachelors,nan,nan,nan
3420,Own,45-54,Female,White,No,Bachelors,nan,nan,nan
3868,Rent,65-74,Male,White,No,Some_college,nan,nan,nan
4009,Own,75_and_up,Male,White,No,Some_college,nan,nan,nan
4038,Own,35-44,Male,White,Yes,Bachelors,nan,nan,nan
